Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: Cout=644.4a, transition=80p",,,,,,
11,Lab2_Timing_1,/A,,,,
11,Lab2_Timing_1,/B,,,,
11,Lab2_Timing_1,/Y,,,,
11,Lab2_Timing_1,AfallTime,0,,,
11,Lab2_Timing_1,AriseTime,0,,,
11,Lab2_Timing_1,AY_cellFall,31.58e-12,,,
11,Lab2_Timing_1,AY_cellRise,15.86e-12,,,
11,Lab2_Timing_1,AY_fallTransistion,45.83e-12,,,
11,Lab2_Timing_1,AY_riseTransistion,20.42e-12,,,
11,Lab2_Timing_1,BfallTime,0,,,
11,Lab2_Timing_1,BriseTime,0,,,
11,Lab2_Timing_1,BY_cellFall,34.85e-12,,,
11,Lab2_Timing_1,BY_cellRise,17.01e-12,,,
11,Lab2_Timing_1,BY_fallTransistion,45.83e-12,,,
11,Lab2_Timing_1,BY_riseTransistion,20.42e-12,,,
"Parameters: Cout=644.4a, transition=100p",,,,,,
12,Lab2_Timing_1,/A,,,,
12,Lab2_Timing_1,/B,,,,
12,Lab2_Timing_1,/Y,,,,
12,Lab2_Timing_1,AfallTime,0,,,
12,Lab2_Timing_1,AriseTime,0,,,
12,Lab2_Timing_1,AY_cellFall,32.34e-12,,,
12,Lab2_Timing_1,AY_cellRise,16.75e-12,,,
12,Lab2_Timing_1,AY_fallTransistion,45.92e-12,,,
12,Lab2_Timing_1,AY_riseTransistion,20.66e-12,,,
12,Lab2_Timing_1,BfallTime,0,,,
12,Lab2_Timing_1,BriseTime,0,,,
12,Lab2_Timing_1,BY_cellFall,35.54e-12,,,
12,Lab2_Timing_1,BY_cellRise,17.78e-12,,,
12,Lab2_Timing_1,BY_fallTransistion,45.92e-12,,,
12,Lab2_Timing_1,BY_riseTransistion,20.66e-12,,,
"Parameters: Cout=644.4a, transition=120p",,,,,,
13,Lab2_Timing_1,/A,,,,
13,Lab2_Timing_1,/B,,,,
13,Lab2_Timing_1,/Y,,,,
13,Lab2_Timing_1,AfallTime,0,,,
13,Lab2_Timing_1,AriseTime,0,,,
13,Lab2_Timing_1,AY_cellFall,33.16e-12,,,
13,Lab2_Timing_1,AY_cellRise,17.47e-12,,,
13,Lab2_Timing_1,AY_fallTransistion,46.32e-12,,,
13,Lab2_Timing_1,AY_riseTransistion,21.16e-12,,,
13,Lab2_Timing_1,BfallTime,0,,,
13,Lab2_Timing_1,BriseTime,0,,,
13,Lab2_Timing_1,BY_cellFall,36.23e-12,,,
13,Lab2_Timing_1,BY_cellRise,18.57e-12,,,
13,Lab2_Timing_1,BY_fallTransistion,46.32e-12,,,
13,Lab2_Timing_1,BY_riseTransistion,21.16e-12,,,
"Parameters: Cout=644.4a, transition=140p",,,,,,
14,Lab2_Timing_1,/A,,,,
14,Lab2_Timing_1,/B,,,,
14,Lab2_Timing_1,/Y,,,,
14,Lab2_Timing_1,AfallTime,0,,,
14,Lab2_Timing_1,AriseTime,0,,,
14,Lab2_Timing_1,AY_cellFall,33.67e-12,,,
14,Lab2_Timing_1,AY_cellRise,18.31e-12,,,
14,Lab2_Timing_1,AY_fallTransistion,46.17e-12,,,
14,Lab2_Timing_1,AY_riseTransistion,21.57e-12,,,
14,Lab2_Timing_1,BfallTime,0,,,
14,Lab2_Timing_1,BriseTime,0,,,
14,Lab2_Timing_1,BY_cellFall,36.88e-12,,,
14,Lab2_Timing_1,BY_cellRise,19.43e-12,,,
14,Lab2_Timing_1,BY_fallTransistion,46.17e-12,,,
14,Lab2_Timing_1,BY_riseTransistion,21.57e-12,,,
"Parameters: Cout=1.189f, transition=20p",,,,,,
15,Lab2_Timing_1,/A,,,,
15,Lab2_Timing_1,/B,,,,
15,Lab2_Timing_1,/Y,,,,
15,Lab2_Timing_1,AfallTime,0,,,
15,Lab2_Timing_1,AriseTime,0,,,
15,Lab2_Timing_1,AY_cellFall,42.74e-12,,,
